PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species,Strain/Sex,Route,Dose,Tumor Site: Type of Lesion,Results,Reference
4819,363900321,10509,C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],Active,,,,MOUSE,B6C3F1/FEMALE,INHALATION,"0; 0.5; 2 PPM 6 HR/D, 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK)","LUNG: ALVEOLAR/BRONCHIOLAR ADENOMA, ALVEOLAR/BRONCHIOLAR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-386 Y90]"
4820,363900322,,,Inactive,,,,RAT,F344/MALE,ORAL,0; 1% (10000 PPM) IN PELLETED FEED FOR LIFETIME BEGINNING WITH MOTHERS OF THE STUDY ANIMALS 15-16 WK PRIOR TO DELIVERY (STUDY DURATION: LIFETIME),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-277 Y90]"
4821,363900322,,,Inactive,,,,RAT,F344/FEMALE,ORAL,0; 1% (10000 PPM) IN PELLETED FEED FOR LIFETIME BEGINNING WITH MOTHERS OF THE STUDY ANIMALS 15-16 WK PRIOR TO DELIVERY (STUDY DURATION: LIFETIME),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-277 Y90]"
4822,363900322,,,Active,,,,RAT,WISTAR/MALE,INHALATION,0; 10 MG/M3 OF RESPIRABLE DUST 7 HR/D 5 D/WK FOR 224 DAYS DURING A PERIOD OF 12 MO (STUDY DURATION: 29 MO),LUNG: CARCINOMA,POSITIVE,"[DAVIS,JMG, ADDISON,J, BOLTON,RE, DONALDSON,K, JONES,AD AND MILLER,BG; INHALATION STUDIES ON THE EFFECTS OF TREMOLITE AND BRUCITE DUST IN RATS; CARCINOGENESIS 6(5):667-674, 1985]"
4823,363900322,,,Active,,,,RAT,WISTAR/MALE,INTRAPERITONEAL,0; 25 MG OF DUST SUSPENDED IN 2 ML PHOSPHATE BUFFERED SALINE (STUDY DURATION: >352 D),LUNG: MESOTHELIOMA,POSITIVE,"[DAVIS,JMG, ADDISON,J, BOLTON,RE, DONALDSON,K, JONES,AD AND MILLER,BG; INHALATION STUDIES ON THE EFFECTS OF TREMOLITE AND BRUCITE DUST IN RATS; CARCINOGENESIS 6(5):667-674, 1985]"
4824,363900323,6896,CC1=C(C(=CC=C1)C)N,Active,,,,RAT,CD/MALE,ORAL,0; 300; 1000; 3000 PPM IN FEED FOR 102 WK (STUDY DURATION: 104 WK),"SUBCUTANEOUS TISSUE: FIBROMA, FIBROMA OR NEUROFIBROMA, FIBROMA OR FIBROSARCOMA; NASAL CAVITY: PAPILLARY ADENOMA, CARCINOMA, ADENOMA OR ADENOCARCINOMA OR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-278 Y90]"
4825,363900323,6896,CC1=C(C(=CC=C1)C)N,Active,,,,RAT,CD/FEMALE,ORAL,0; 300; 1000; 3000 PPM IN FEED FOR 102 WK (STUDY DURATION: 104 WK),"SUBCUTANEOUS TISSUE: FIBROMA, FIBROMA OR FIBROSARCOMA; NASAL CAVITY: PAPILLARY ADENOMA, ADENOMA OR PAPILLARY ADENOMA, CARCINOMA; LIVER: NEOPLASTIC NODULE, NEOPLASTIC NODULE OR HEPATOCELLULAR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-278 Y90]"
4826,363900324,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,Active,,,,RAT,F344/FEMALE,GAVAGE,0; 50; 100 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 103 WK),"KIDNEY: TRANSITIONAL EPITHELIAL CARCINOMA, TUBULAR CELL ADENOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-367 Y90]"
4827,363900324,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 150; 300 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 107 WK),"LIVER: HEPATOCELLULAR ADENOMA, HEPATOCELLULAR ADENOMA OR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-367 Y90]"
4828,363900324,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,Inactive,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 150; 300 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 107 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-367 Y90]"
4829,363900324,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,Unspecified,,,,RAT,F344/MALE,GAVAGE,0; 50; 100 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 103 WK),"KIDNEY: TUBULAR CELL ADENOMA, TUBULAR CELL ADENOMA OR CARCINOMA",EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-367 Y90]"
4830,363900325,7838,C=CCOCC1CO1,Inactive,,,,RAT,OSBORNE-MENDEL/FEMALE,INHALATION,0; 5; 10 PPM 6 HR/D 5 D/WK FOR 103 WK (STUDY DURATION: 106 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-376 Y90]"
4831,363900325,7838,C=CCOCC1CO1,Active,,,,MOUSE,B6C3F1/MALE,INHALATION,0; 5; 10 PPM 6 HR/D 5 D/WK FOR 102 WK (STUDY DURATION: 105 WK),NOSE (RESPIRATORY EPITHELIUM): ADENOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-376 Y90]"
4832,363900325,7838,C=CCOCC1CO1,Unspecified,,,,RAT,OSBORNE-MENDEL/MALE,INHALATION,0; 5; 10 PPM 6 HR/D 5 D/WK FOR 103 WK (STUDY DURATION: 106 WK),"NOSE (RESPIRATORY OR OLFACTORY EPITHELIUM): PAPILLARY ADENOMA, SQUAMOUS CELL CARCINOMA, POORLY DIFFERENTIATED ADENOCARCINOMA",EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-376 Y90]"
4833,363900325,7838,C=CCOCC1CO1,Unspecified,,,,MOUSE,B6C3F1/FEMALE,INHALATION,0; 5; 10 PPM 6 HR/D 5 D/WK FOR 102 WK (STUDY DURATION: 105 WK),NOSE (RESPIRATORY EPITHELIUM): ADENOMA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-376 Y90]"
4834,363900326,240,C1=CC=C(C=C1)C=O,Inactive,,,,RAT,F344/MALE,GAVAGE,0; 200; 400 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-378 Y90]"
4835,363900326,240,C1=CC=C(C=C1)C=O,Inactive,,,,RAT,F344/FEMALE,GAVAGE,0; 200; 400 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-378 Y90]"
4836,363900326,240,C1=CC=C(C=C1)C=O,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 200; 400 MG/KG IN CORN OIL 5 D/WK FOR 104 WK (STUDY DURATION: 105 WK),FORESTOMACH: SQUAMOUS PAPILLOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-378 Y90]"
4837,363900326,240,C1=CC=C(C=C1)C=O,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 300; 600 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 104 WK),FORESTOMACH: SQUAMOUS PAPILLOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-378 Y90]"
4838,363900327,17604,C1=CC=C(C(=C1)C=C(C#N)C#N)Cl,Inactive,,,,RAT,F344/MALE,INHALATION,0; 0.075; 0.25; 0.75 MG/M3 6 HR/D 5 D/WK FOR 105 WK (STUDY DURATION: 107 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-377 Y90]"
4839,363900327,17604,C1=CC=C(C(=C1)C=C(C#N)C#N)Cl,Inactive,,,,RAT,F344/FEMALE,INHALATION,0; 0.075; 0.25; 0.75 MG/M3 6 HR/D 5 D/WK FOR 105 WK (STUDY DURATION: 107 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-377 Y90]"
4840,363900327,17604,C1=CC=C(C(=C1)C=C(C#N)C#N)Cl,Inactive,,,,MOUSE,B6C3F1/MALE,INHALATION,0; 0.75; 1.5 MG/M3 6 HR/D 5 D/WK FOR 105 WK (STUDY DURATION: 107 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-377 Y90]"
4841,363900327,17604,C1=CC=C(C(=C1)C=C(C#N)C#N)Cl,Inactive,,,,MOUSE,B6C3F1/FEMALE,INHALATION,0; 0.75; 1.5 MG/M3 6 HR/D 5 D/WK FOR 105 WK (STUDY DURATION: 107 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-377 Y90]"
4842,363900328,21852,CC(C1OCC(O1)CO)I,Active,,,,RAT,F344/MALE,GAVAGE,0; 125; 250 MG/KG IN WATER 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),HEMATOPOIETIC SYSTEM: MONONUCLEAR CELL LEUKEMIA; THYROID GLAND: FOLLICULAR CELL CARCINOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-340 Y90]"
4843,363900328,21852,CC(C1OCC(O1)CO)I,Inactive,,,,RAT,F344/FEMALE,GAVAGE,0; 62; 125 MG/KG IN WATER 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-340 Y90]"
4844,363900328,21852,CC(C1OCC(O1)CO)I,Inactive,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 125; 250 MG/KG IN WATER 5 D/WK FOR 103 WK (STUDY DURATION: 106 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-340 Y90]"
4845,363900328,21852,CC(C1OCC(O1)CO)I,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 62; 125 MG/KG IN WATER 5 D/WK FOR 103 WK (STUDY DURATION: 106 WK),"FORESTOMACH: SQUAMOUS CELL PAPILLOMA; ANTERIOR PITUTARY GLAND: ADENOMA; HARDERIAN GLAND: ADENOMA, ADENOMA OR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-340 Y90]"
4846,363900330,13543,C=CC(=O)NCO,Inactive,,,,RAT,F344/MALE,GAVAGE,0; 6; 12 MG/KG IN DEIONIZED WATER 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-352 Y89]"
4847,363900330,13543,C=CC(=O)NCO,Inactive,,,,RAT,F344/FEMALE,GAVAGE,0; 6; 12 MG/KG IN DEIONIZED WATER 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-352 Y89]"
4848,363900330,13543,C=CC(=O)NCO,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 25; 50 MG/KG IN DEIONIZED WATER 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),"HARDERIAN GLAND: ADENOMA, ADENOMA OR CARCINOMA; LIVER: HEPATOCELLULAR ADENOMA, HEPATOCELLULAR CARCINOMA; LUNG: ALVEOLAR/BRONCHIOLAR ADENOMA, ALVEOLAR/BRONCHIOLAR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-352 Y89]"
4849,363900330,13543,C=CC(=O)NCO,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 25; 50 MG/KG IN DEIONIZED WATER 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),"HARDERIAN GLAND: ADENOMA, ADENOMA OR CARCINOMA; LIVER: HEPATOCELLULAR ADENOMA, HEPATOCELLULAR ADENOMA OR CARCINOMA; LUNG: ALVEOLAR/BRONCHIOLAR CARCINOMA, ALVEOLAR/BRONCHIOLAR ADENOMA OR CARCINOMA; OVARY: GRANULOSA CELL TUMOR",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-352 Y89]"
4850,363900331,949,CN(C)C1=CC=CC=C1,Active,,,,RAT,F344/MALE,GAVAGE,0; 3; 30 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),"SPLEEN: SARCOMA, SARCOMA OR OSTEOSARCOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-360 Y89]"
4851,363900331,949,CN(C)C1=CC=CC=C1,Inactive,,,,RAT,F344/FEMALE,GAVAGE,0; 3; 30 MG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-360 Y89]"
4852,363900331,949,CN(C)C1=CC=CC=C1,Inactive,,,,MOUSE,B6C3F1/MALE,GAVAGE,0; 15; 30 MG/KG IN CORN OIL FOR 103 WK (STUDY DURATION: 105 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-360 Y89]"
4853,363900331,949,CN(C)C1=CC=CC=C1,Unspecified,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,0; 15; 30 MG/KG IN CORN OIL FOR 103 WK (STUDY DURATION: 105 WK),FORESTOMACH: SQUAMOUS CELL PAPILLOMA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-360 Y89]"
4854,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Active,,,,RAT,F344/FEMALE,GAVAGE,0; 21; 70; 210 UG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 105 WK),"KIDNEY TUBULE: ADENOMA, CARCINOMA; MAMMARY GLAND: FIBROADENOMA, ADENOMA OR FIBROADENOMA OR ADENOCARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-358 Y89]"
4855,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Active,,,,RAT,F344/MALE,GAVAGE,0; 21; 70; 210 UG/KG IN CORN OIL 5 D/WK FOR 103 WK (STUDY DURATION: 106 WK),"KIDNEY TUBULE: ADENOMA, CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-358 Y89]"
4856,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Active,,,,MOUSE,DDY/MALE,ORAL,"0; 7.05; 17.24; 26.27; 33.16; 35.86; 42.67 MG/MOUSE (TOTAL DOSE) ADMINISTERED AT A DOSE OF 50 PPM IN DIET FOR 0, 5, 10, 15, 20, 25 OR 30 WK, RESPECTIVELY (STUDY DURATION: 70 WK)",LIVER: HEPATOMA; KIDNEY: RENAL CELL TUMOR,POSITIVE,"[KANISAWA,M; SYNERGISTIC EFFECT OF CITRININ ON HEPATORENAL CARCINOGENESIS OF OCHRATOXIN A IN MICE; DEV. FOOD SCI. 7(TOXIGENIC FUNGI):245-254, 1984]"
4857,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Active,,,,MOUSE,DDD/MALE,ORAL,0; 25 PPM IN DIET FOR 70 WK (STUDY DURATION: 70 WK),KIDNEY: RENAL CELL TUMOR; LIVER: HEPATOMA,POSITIVE,"[KANISAWA,M; SYNERGISTIC EFFECT OF CITRININ ON HEPATORENAL CARCINOGENESIS OF OCHRATOXIN A IN MICE; DEV. FOOD SCI. 7(TOXIGENIC FUNGI):245-254, 1984]"
4858,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Active,,,,MOUSE,"ALBINO/MALE,FEMALE",GAVAGE,0; 0.25 ML OF 50 PPM SOLUTION 2/WK FOR 20 WK (STUDY DURATION: 20 WK),KIDNEY: CARCINOMA,POSITIVE,"[JESWAL,P; CUMULATIVE EFFECT OF OCHRATOXIN A AND CITRININ ON INDUCTION OF HEPATORENAL CARCINOGENESIS IN MICE (MUS MUSCULUS); BIOMED. LETT. 52(208):269-275, 1995]"
4859,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Active,,,,MOUSE,"SWISS/MALE,FEMALE",GAVAGE,0; 0.25 ML OF A 50 PPM SOLUTION 2/WK FOR 20 WK (STUDY DURATION: 20 WK),KIDNEY: CARCINOMA,POSITIVE,"[JESWAL,P; OCHRATOXIN A INDUCED HEPATORENAL CARCINOGENESIS IN MICE (MUS MUSCULUS); PROC. INDIAN NATL. SCI. ACAD., PART B 62(5):339-343, 1996]"
4860,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Active,,,,RAT,DA/MALE,GAVAGE,0; 0.4 MG/KG BW IN SODIUM BICARBONATE 3/WK FOR DURATION OF STUDY (STUDY DURATION: LIFESPAN),"KIDNEY: ADENOCARCINOMA, ADENOMA",POSITIVE,"[CASTEGNARO,M, MOHR,U, PFOHL-LESZKOWICZ,A, ESTEVE,J, STEINMANN,J, TILLMANN,T, MICHELON,J AND BARTSCH,H; SEX- AND STRAIN-SPECIFIC INDUCTION OF RENAL TUMORS BY OCHRATOXIN A IN RATS CORRELATES WITH DNA ADDUCTION; INT. J. CANCER 77(1):70-75, 1998]"
4861,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Inactive,,,,RAT,DA/FEMALE,GAVAGE,0; 0.4 MG/KG BW IN SODIUM BICARBONATE 3/WK FOR DURATION OF STUDY (STUDY DURATION: LIFESPAN),,NEGATIVE,"[CASTEGNARO,M, MOHR,U, PFOHL-LESZKOWICZ,A, ESTEVE,J, STEINMANN,J, TILLMANN,T, MICHELON,J AND BARTSCH,H; SEX- AND STRAIN-SPECIFIC INDUCTION OF RENAL TUMORS BY OCHRATOXIN A IN RATS CORRELATES WITH DNA ADDUCTION; INT. J. CANCER 77(1):70-75, 1998]"
4862,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Active,,,,RAT,LEWIS/MALE,GAVAGE,0; 0.4 MG/KG BW IN SODIUM BICARBONATE 3/WK FOR DURATION OF STUDY (STUDY DURATION: LIFESPAN),KIDNEY: ADENOCARCINOMA,POSITIVE,"[CASTEGNARO,M, MOHR,U, PFOHL-LESZKOWICZ,A, ESTEVE,J, STEINMANN,J, TILLMANN,T, MICHELON,J AND BARTSCH,H; SEX- AND STRAIN-SPECIFIC INDUCTION OF RENAL TUMORS BY OCHRATOXIN A IN RATS CORRELATES WITH DNA ADDUCTION; INT. J. CANCER 77(1):70-75, 1998]"
4863,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Active,,,,RAT,LEWIS/FEMALE,GAVAGE,0; 0.4 MG/KG BW IN SODIUM BICARBONATE 3/WK FOR DURATION OF STUDY (STUDY DURATION: LIFESPAN),KIDNEY: ADENOCARCINOMA,POSITIVE,"[CASTEGNARO,M, MOHR,U, PFOHL-LESZKOWICZ,A, ESTEVE,J, STEINMANN,J, TILLMANN,T, MICHELON,J AND BARTSCH,H; SEX- AND STRAIN-SPECIFIC INDUCTION OF RENAL TUMORS BY OCHRATOXIN A IN RATS CORRELATES WITH DNA ADDUCTION; INT. J. CANCER 77(1):70-75, 1998]"
4864,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Inactive,,,,MOUSE,CD-1/MALE,ORAL,0; 0.031; 0.125; 0.5% IN DIET FOR 78 WK (STUDY DURATION: 78 WK),,NEGATIVE,"[TADA,Y FUJITANI,T YANO,N YUZAWA,K NAGASAWA,A AOKI,N OGATA,A  AND YONEYAMA,M; CHRONIC TOXICITY OF THIABENDAZOLE (TBZ) IN CD-1 MICE;  TOXICOLOGY 169(3): 163-176, 2001]"
4865,363900332,9344,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl,Inactive,,,,MOUSE,CD-1/FEMALE,ORAL,0; 0.031; 0.125; 0.5% IN DIET FOR 78 WK (STUDY DURATION: 78 WK),,NEGATIVE,"[TADA,Y FUJITANI,T YANO,N YUZAWA,K NAGASAWA,A AOKI,N OGATA,A  AND YONEYAMA,M; CHRONIC TOXICITY OF THIABENDAZOLE (TBZ) IN CD-1 MICE;  TOXICOLOGY 169(3): 163-176, 2001]"
